# map file
# Format: waterfowl, virus, longitude, latitude
# An influenza variant: "mutated while in the waterfowl creating a new variant that is capable from jumping from waterfowl to seals".  
# http://www.healthmap.org/site/diseasedaily/article/baby-seals-die-new-influenza-variant-not-bird-flu-8112
Long-Tailed Duck,H3N8,44.2814,-68.6543
Blue-Winged Teal,H3N8,41.461,-82.9974
Green-Winged Teal,H3N8,41.461,-82.9974
Green-Winged Teal,H3N8,41.461,-82.9974
Blue-Winged Teal,H3N8,43.038533,-93.418116
Blue-Winged Teal,H3N8,43.038533,-93.418116
Blue-Winged Teal,H3N8,43.038533,-93.418116
Mallard,H3N8,43.726399,-89.207103
Wood Duck,H3N8,41.43445,-82.962238
Green-Winged Teal,H3N8,43.5497141,-88.655938
Blue-Winged Teal,H3N8,41.43445,-82.962238
Green-Winged Teal,H3N8,41.461,-82.9974
Green-Winged Teal,H3N8,41.461,-82.9974
Blue-Winged Teal,H3N8,43.038533,-93.418116
Gadwall,H3N8,43.361525,-91.223378
Mallard,H3N8,45.794683,-92.681968
Wood Duck,H3N8,45.794683,-92.681968
Mallard,H3N8,43.5497,-88.6559
Mallard,H3N8,43.5497,-88.6559
Ruddy Duck,H3N8,43.72828,-89.26342
Blue-Winged Teal,H3N8,36.722,-90.1136
Mallard,H3N8,39.8492,-86.0242
Blue-Winged Teal,H3N8,43.038533,-93.418116
Mallard,H3N8,43.038533,-93.418116
Mallard,H3N8,41.6257,-83.2137
Redhead,H3N8,41.461,-82.9974
Green-Winged Teal,H3N8,40.3,-90.061
Mallard,H3N8,38.6189,-89.3534
Mallard,H3N8,41.4345,-82.9622
Mallard,H3N8,42.0167,-90.1235
Long-Tailed Duck,H3N8,44.146,-87.5654
Mallard,H3N8,43.5497,-88.6559
Ruddy Duck,H3N8,40.0711474,-87.7144679
Green-Winged Teal,H3N8,33.224855,-90.983825
Mallard,H3N8,33.224855,-90.983825
Mallard,H3N8,33.224855,-90.983825
Mallard,H3N8,33.224855,-90.983825
Mallard,H3N8,33.224855,-90.983825
Mallard,H3N8,40.0711,-87.7145
Mallard,H3N8,43.5497141,-88.655938
Common Teal,H3N8,43.5497141,-88.655938
Green-Winged Teal,H3N8,43.5497141,-88.655938
Ruddy Turnstone,H3N8,39.21825,-74.96042
Shorebird,H3N8,39.10889,-74.89444
Shorebird,H3N8,39.10889,-74.89444
Shorebird,H3N8,39.10889,-74.89444
Shorebird,H3N8,39.10889,-74.89444
Shorebird,H3N8,39.1875,-74.95056
Shorebird,H3N8,39.11833,-74.89105
Shorebird,H3N8,39.11833,-74.89105
Shorebird,H3N8,39.11833,-74.89105
Shorebird,H3N8,39.11833,-74.89105
Ruddy Turnstone,H3N8,39.11833,-74.89105
Ruddy Turnstone,H3N8,39.11833,-74.89105
Sanderling,H3N8,39.0181,-74.9473
Shorebird,H3N8,39.10889,-74.89444
Shorebird,H3N8,39.10889,-74.89444
Shorebird,H3N8,39.10889,-74.89444
Shorebird,H3N8,39.10889,-74.89444
Shorebird,H3N8,39.00452,-75.00385
Shorebird,H3N8,39.29447,-75.16457
Shorebird,H3N8,39.05,-74.928
Shorebird,H3N8,39.05,-74.928
Shorebird,H3N8,39.05,-74.928
Ruddy Turnstone,H3N8,39.11833,-74.89105
Ruddy Turnstone,H3N8,39.11833,-74.89105
Ruddy Turnstone,H3N8,39.11833,-74.89105
Ruddy Turnstone,H3N8,39.11833,-74.89105
Ruddy Turnstone,H3N8,39.11833,-74.89105
Shorebird,H3N8,39.11833,-74.89105
Shorebird,H3N8,39.11833,-74.89105
Red Knot,H3N8,39.11833,-74.89105
Red Knot,H3N8,39.11833,-74.89105
Shorebird,H3N8,39.11833,-74.89105
Shorebird,H3N8,39.11833,-74.89105
Shorebird,H3N8,39.047,-74.92
Ruddy Turnstone,H3N8,39.11833,-74.89105
Ruddy Turnstone,H3N8,39.11833,-74.89105
Ruddy Turnstone,H3N8,39.11833,-74.89105
Ruddy Turnstone,H3N8,39.11833,-74.89105
Ruddy Turnstone,H3N8,39.11833,-74.89105
Mallard,H3N8,64.93499,-148.81372
Mallard,H3N8,64.90542,-148.85421
Mallard,H3N8,64.89604,-148.84413
Shoveler,H3N8,64.93649,-148.80578
Pintail,H3N8,64.92657,-148.81829
Shoveler,H3N8,64.88543,-148.76081
Green-Winged Teal,H3N8,64.90542,-148.85421
Mallard,H3N8,64.93649,-148.80578
Mallard,H3N8,64.88543,-148.76081
Pintail,H3N8,64.85993,-148.82089
Pintail,H3N8,64.909,-148.85644
Pintail,H3N8,64.91926,-148.80902
Pintail,H3N8,64.91893,-148.80943
Pintail,H3N8,64.93807,-148.80484
Pintail,H3N8,64.93807,-148.80484
Pintail,H3N8,64.91893,-148.80943
Pintail,H3N8,64.91893,-148.80943
Pintail,H3N8,64.93795,-148.80226
Pintail,H3N8,64.909,-148.85644
Mallard,H3N8,64.92196,-148.7722
Pintail,H3N8,64.909,-148.85644
Pintail,H3N8,64.93807,-148.80484
Pintail,H3N8,64.93807,-148.80484
Pintail,H3N8,64.91893,-148.80943
Green-Winged Teal,H3N8,64.95459,-148.78583
Pintail,H3N8,64.95459,-148.78583
Green-Winged Teal,H3N8,64.95459,-148.78583
Pintail,H3N8,64.91926,-148.80902
Pintail,H3N8,64.91926,-148.80902
Pintail,H3N8,64.89986,-148.83792
Green-Winged Teal,H3N8,64.93649,-148.80578
Mallard,H3N8,64.90542,-148.85421
Mallard,H3N8,64.86181,-148.86778
Mallard,H3N8,64.90807,-148.86853
Mallard,H3N8,64.8986,-148.76184
Green-Winged Teal,H3N8,64.87968,-148.86122
American Wigeon,H3N8,64.89419,-148.72708
Shoveler,H3N8,64.89838,-148.86886
Shoveler,H3N8,64.89838,-148.86886
Shoveler,H3N8,64.90741,-148.88404
Shoveler,H3N8,64.90741,-148.88404
Ring-Necked Duck,H3N8,64.90741,-148.88404
Mallard,H3N8,64.90301,-148.83168
Mallard,H3N8,64.90508,-148.79539
Mallard,H3N8,64.90912,-148.75071
Mallard,H3N8,64.90912,-148.75071
Pintail,H3N8,64.93499,-148.81372
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
Pintail,H3N8,64.93499,-148.81372
Pintail,H3N8,64.92091,-148.84015
Pintail,H3N8,64.92091,-148.84015
Mallard,H3N8,64.89986,-148.83792
Mallard,H3N8,64.89207,-148.79384
Pintail,H3N8,64.90865,-148.80215
Green-Winged Teal,H3N8,64.90481,-148.87319
Shoveler,H3N8,64.90481,-148.87319
Mallard,H3N8,64.90723,-148.83553
Mallard,H3N8,64.90723,-148.83553
Mallard,H3N8,64.89896,-148.81513
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
Mallard,H3N8,64.92657,-148.81829
