# map file
# Format: waterfowl, virus, longitude, latitude
# "Bodies of water could serve as a transmission pathway" 
# http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0012851
Blue-Winged Teal,H4N6,41.461,-82.9974
Blue-Winged Teal,H4N6,41.461,-82.9974
Green-Winged Teal,H4N6,41.461,-82.9974
Green-Winged Teal,H4N6,41.461,-82.9974
Green-Winged Teal,H4N6,41.461,-82.9974
Blue-Winged Teal,H4N6,41.461,-82.9974
Green-Winged Teal,H4N6,41.461,-82.9974
Blue-Winged Teal,H4N6,43.038533,-93.418116
Green-Winged Teal,H4N6,41.461,-82.9974
Mallard,H4N6,41.461,-82.9974
Mallard,H4N6,43.5497,-88.6559
Mallard,H4N6,43.5497,-88.6559
Blue-Winged Teal,H4N6,40.297067,-90.060004
Mallard,H4N6,41.69722,-89.86342
Mallard,H4N6,41.4345,-82.9622
Blue-Winged Teal,H4N6,36.722,-90.1136
Blue-Winged Teal,H4N6,36.722,-90.1136
Blue-Winged Teal,H4N6,39.542566,-91.166466
Mallard,H4N6,41.461152,-89.997416
Mallard,H4N6,41.461152,-89.997416
Mallard,H4N6,41.040975,-83.20075
Green-Winged Teal,H4N6,38.6189,-89.3534
Blue-Winged Teal,H4N6,38.6189,-89.3534
Blue-Winged Teal,H4N6,38.6189,-89.3534
Blue-Winged Teal,H4N6,38.6189,-89.3534
Mallard,H4N6,43.038533,-93.418116
Mallard,H4N6,41.6257,-83.2137
Redhead,H4N6,41.461,-82.9974
Shoveler,H4N6,40.0711,-87.7145
Green-Winged Teal,H4N6,32.8305,-90.9812
Green-Winged Teal,H4N6,32.5486,-90.8707
Pintail,H4N6,43.726399,-89.207103
Gadwall,H4N6,43.5497,-88.6559
Pintail,H4N6,43.5497,-88.6559
Mallard,H4N6,44.69764,-89.862585
Green-Winged Teal,H4N6,43.5497,-88.6559
Shoveler,H4N6,42.0167,-90.1235
Mallard,H4N6,43.5497,-88.6559
Mallard,H4N6,43.5497,-88.6559
Blue-Winged Teal,H4N6,36.722,-90.1136
Blue-Winged Teal,H4N6,36.722,-90.1136
Blue-Winged Teal,H4N6,43.726399,-89.207103
Blue-Winged Teal,H4N6,43.5497,-88.6559
Mallard,H4N6,43.5497141,-88.655938
Mallard,H4N6,40.1997673,-90.1848423
Shoveler,H4N6,32.9065168,-90.8781567
Mallard,H4N6,43.4463634,-91.2134651
Blue-Winged Teal,H4N6,43.4463634,-91.2134651
Blue-Winged Teal,H4N6,44.715117,-89.865589
Shorebird,H4N6,39.11833,-74.89105
Ruddy Turnstone,H4N6,38.945,-75.314
Ruddy Turnstone,H4N6,38.945,-75.314
Shorebird,H4N6,39.00181,-74.014878
Shorebird,H4N6,39.00181,-74.014878
Shorebird,H4N6,39.114,-74.8918
Shorebird,H4N6,39.114,-74.8918
Red Knot,H4N6,38.945,-75.314
Red Knot,H4N6,38.945,-75.314
Shorebird,H4N6,39.0019,-74.014863
Laughing Gull,H4N6,39.0019,-74.014863
Shorebird,H4N6,39.0019,-74.014863
Shorebird,H4N6,39.0019,-74.014863
Shorebird,H4N6,39.0019,-74.014863
Shorebird,H4N6,39.0019,-74.014863
Shorebird,H4N6,39.0019,-74.014863
Shorebird,H4N6,39.00181,-74.014878
Shorebird,H4N6,39.00181,-74.014878
Shorebird,H4N6,39.00181,-74.014878
Green-Winged Teal,H4N6,64.93762,-148.83144
Pintail,H4N6,64.87021,-148.84309
Mallard,H4N6,64.89207,-148.79384
Mallard,H4N6,64.93499,-148.81372
Green-Winged Teal,H4N6,64.93807,-148.80484
Shoveler,H4N6,64.93649,-148.80578
Pintail,H4N6,64.89986,-148.83792
Pintail,H4N6,64.93807,-148.80484
Pintail,H4N6,64.93807,-148.80484
Mallard,H4N6,64.909,-148.85644
Pintail,H4N6,64.909,-148.85644
Mallard,H4N6,64.94638,-148.82716
Mallard,H4N6,64.93795,-148.80226
Mallard,H4N6,64.93795,-148.80226
Pintail,H4N6,64.91893,-148.80943
Pintail,H4N6,64.93795,-148.80226
Pintail,H4N6,64.93795,-148.80226
Pintail,H4N6,64.94638,-148.82716
Pintail,H4N6,64.909,-148.85644
Pintail,H4N6,64.91926,-148.80902
Mallard,H4N6,64.94638,-148.82716
Pintail,H4N6,64.93807,-148.80484
Pintail,H4N6,64.93807,-148.80484
Shoveler,H4N6,64.96447,-148.75418
Green-Winged Teal,H4N6,64.93762,-148.83144
Pintail,H4N6,64.89625,-148.82562
Pintail,H4N6,64.93807,-148.80484
Pintail,H4N6,64.93828,-148.80984
Green-Winged Teal,H4N6,64.93762,-148.83144
Mallard,H4N6,64.92196,-148.7722
Pintail,H4N6,64.89986,-148.83792
Pintail,H4N6,64.89986,-148.83792
Mallard,H4N6,64.89986,-148.83792
Mallard,H4N6,64.89986,-148.83792
Mallard,H4N6,64.8956,-148.77324
Shoveler,H4N6,64.93548,-148.80176
Shoveler,H4N6,64.90481,-148.87319
Ring-Necked Duck,H4N6,64.89838,-148.86886
Mallard,H4N6,64.93499,-148.81372
Mallard,H4N6,64.93499,-148.81372
Mallard,H4N6,64.93499,-148.81372
Mallard,H4N6,64.93499,-148.81372
Mallard,H4N6,64.93499,-148.81372
Green-Winged Teal,H4N6,64.95459,-148.78583
Pintail,H4N6,64.92657,-148.81829
Pintail,H4N6,64.93499,-148.81372
Mallard,H4N6,64.87062,-148.84155
Shoveler,H4N6,64.91254,-148.76413
Mallard,H4N6,64.9057,-148.79779
Pintail,H4N6,64.91005,-148.80132
Shoveler,H4N6,64.91253,-148.7762
Mallard,H4N6,64.87021,-148.84309
Mallard,H4N6,64.87021,-148.84309
Mallard,H4N6,64.87021,-148.84309
Mallard,H4N6,64.87021,-148.84309
Pintail,H4N6,64.87021,-148.84309
Pintail,H4N6,64.87021,-148.84309
Mallard,H4N6,64.90078,-148.84276
Green-Winged Teal,H4N6,64.90927,-148.85413
Pintail,H4N6,64.92083,-148.82919
Mallard,H4N6,64.92056,-148.75727
Mallard,H4N6,64.92056,-148.75727
Mallard,H4N6,64.89896,-148.81513
Mallard,H4N6,64.89986,-148.83792
Pintail,H4N6,64.89986,-148.83792
Pintail,H4N6,64.93795,-148.80226
Pintail,H4N6,64.92091,-148.84015
Pintail,H4N6,64.92091,-148.84015
Mallard,H4N6,64.89207,-148.79384
Mallard,H4N6,64.92657,-148.81829
Mallard,H4N6,64.92657,-148.81829
Mallard,H4N6,64.92657,-148.81829
Pintail,H4N6,64.90723,-148.83553
Pintail,H4N6,65.00944,-149.54833
Mallard,H4N6,65.00944,-149.54833
Green-Winged Teal,H4N6,64.95459,-148.78583
Mallard,H4N6,64.95459,-148.78583
Pintail,H4N6,64.95459,-148.78583
Green-Winged Teal,H4N6,64.95459,-148.78583
Mallard,H4N6,64.89604,-148.84413
Mallard,H4N6,64.92657,-148.81829
Pintail,H4N6,64.93499,-148.81372
Shoveler,H4N6,64.98129,-149.6911
Pintail,H4N6,64.873,-148.842
Shoveler,H4N6,64.98129,-149.6911
Shoveler,H4N6,64.98129,-149.6911
Mallard,H4N6,64.98129,-149.6911
Mallard,H4N6,64.98129,-149.6911
Mallard,H4N6,64.898,-148.765
Mallard,H4N6,64.98129,-149.6911
Pintail,H4N6,64.873,-148.842
Mallard,H4N6,64.98129,-149.6911
Shoveler,H4N6,64.98129,-149.6911
Mallard,H4N6,64.98129,-149.6911
Mallard,H4N6,38.6481,-121.667
Mallard,H4N6,38.6481,-121.667
Shoveler,H4N6,39.406322,-122.173666
Shoveler,H4N6,39.406322,-122.173666
Mallard,H4N6,39.406322,-122.173666
Mallard,H4N6,38.0935,-121.9052
Mallard,H4N6,38.1321,-121.922
Mallard,H4N6,38.1282,-121.9237
Mallard,H4N6,38.172691,-122.07515
Environment,H4N6,33.69898,-118.01104
Mallard,H4N6,38.1524,-122.0101
Mallard,H4N6,38.1282,-121.9237
Mallard,H4N6,38.0407,-121.5434
Environment,H4N6,33.698982,-118.01104
American Coot,H4N6,33.698982,-118.01104
Mallard,H4N6,33.698982,-118.01104
Mallard,H4N6,38.1307,-121.9814
Mallard,H4N6,38.1307,-121.9814
Mallard,H4N6,38.1307,-121.9814
Mallard,H4N6,38.1307,-121.9814
Mallard,H4N6,38.1307,-121.9814
Mallard,H4N6,38.1307,-121.9814
Mallard,H4N6,38.1307,-121.9814
Mallard,H4N6,38.1307,-121.9814
Mallard,H4N6,48.4556,-95.953547
Wood Duck,H4N6,48.4556,-95.953547
Blue-Winged Teal,H4N6,48.4556,-95.953547
Mallard,H4N6,48.4556,-95.953547
Mallard,H4N6,48.4556,-95.953547
Mallard,H4N6,48.4556,-95.953547
Mallard,H4N6,48.4556,-95.953547
Blue-Winged Teal,H4N6,48.4556,-95.953547
Blue-Winged Teal,H4N6,29.9704,-93.360297
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Blue-Winged Teal,H4N6,47.4364017,-102.648513
Blue-Winged Teal,H4N6,47.4364017,-102.648513
Mallard,H4N6,48.4556,-95.953547
Blue-Winged Teal,H4N6,47.4364017,-102.648513
Blue-Winged Teal,H4N6,47.4364017,-102.648513
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Blue-Winged Teal,H4N6,48.37359722,-95.94196389
Blue-Winged Teal,H4N6,47.59317,-101.16843
Blue-Winged Teal,H4N6,47.59317,-101.16843
Blue-Winged Teal,H4N6,47.59317,-101.16843
Mallard,H4N6,47.59317,-101.16843
Mallard,H4N6,47.59317,-101.16843
Blue-Winged Teal,H4N6,47.59317,-101.16843
Blue-Winged Teal,H4N6,47.59317,-101.16843
Blue-Winged Teal,H4N6,47.59317,-101.16843
Mallard,H4N6,48.398342,-95.996197
Mallard,H4N6,48.398342,-95.996197
Blue-Winged Teal,H4N6,47.59317,-101.16843
Blue-Winged Teal,H4N6,47.59317,-101.16843
Blue-Winged Teal,H4N6,47.59317,-101.16843
Blue-Winged Teal,H4N6,47.59317,-101.16843
Blue-Winged Teal,H4N6,47.59317,-101.16843
Mallard,H4N6,48.9583159,-96.1002826
Blue-Winged Teal,H4N6,47.4364017,-102.648513
Mallard,H4N6,48.9583159,-96.1002826
Mallard,H4N6,48.9583159,-96.1002826
Blue-Winged Teal,H4N6,29.6925,-94.628889
Mallard,H4N6,48.955681,-96.209728
Blue-Winged Teal,H4N6,29.977355,-93.342841
Blue-Winged Teal,H4N6,29.977355,-93.342841
