# kdata file
# Format: Name, Sweetness, Sourness, Nuttiness, Texture
Nastly Cheese Peanut-Butter Candy Sticks,0.28,0.63,0.68,0.85
Hearsay Salted Chocolate Clusters,0.19,0.51,0.14,0.73
Hearsay Sour Honey Peanut Mints,0.83,0.99,0.81,0.45
Billy Bonker's Cool Bittersweet Walnut Velvet,0.63,0.12,0.9,0.12
Good Ivan's Tangy Bittersweet Peanut-Butter Mints,0.69,0.97,0.38,0.35
Nastly Refreshingly Dark Almond Clusters,0.63,0.25,0.91,0.8
Billy Bonker's Bittersweet Nugat-Filled Clusters,0.49,0.4,0.55,0.77
Hearsay Bittersweet Peanut-Butter Lollipops,0.38,0.33,0.66,0.71
Hearsay Tart Bittersweet Peanut-Butter Velvet,0.69,0.98,0.53,0.05
Billy Bonker's Tart Bittersweet Fruit Mints,0.53,0.77,0.04,0.56
Billy Bonker's Cool Bittersweet Chocolate Nonpariels,0.55,0.01,0.21,0.31
Nastly Sour Bittersweet Wintergreen Nonpariels,0.39,0.76,0.21,0.36
Hearsay Dark Almond Fudge,0.64,0.4,0.83,0.02
Billy Bonker's Tart Bittersweet Nugat-Filled Clusters,0.67,0.9,0.55,0.76
Good Ivan's Tangy Honey Chocolate Coated Candy Sticks,0.92,0.95,0.4,1
Nastly Semisweet Peanut Mints,0.7,0.62,0.89,0.69
Nastly Tangy Honey Nugat-Filled Candy Sticks,0.86,0.83,0.69,0.92
Hearsay Bitter Chocolate Coated Jawbreakers,0.27,0.49,0.68,0.82
Good Ivan's Cool Bittersweet Cashew Candy Sticks,0.45,0.06,0.74,0.98
Good Ivan's Refreshingly Sinful Almond Lollipops,0.95,0.28,0.83,0.8
Hearsay Cheese Peanut-Butter Chews,0.26,0.62,0.35,0.03
Hearsay Indulgent Fruit Chews,0.93,0.36,0.2,0.01
Nastly Cool Dark Chocolate Coated Wafers,0.66,0,0.51,0.38
Good Ivan's Cool Indulgent Wintergreen Chews,0.84,0.16,0.29,0.19
Nastly Refreshingly Semisweet Cashew Jawbreakers,0.47,0.24,0.82,0.75
Billy Bonker's Cheese Walnut Jawbreakers,0.07,0.52,0.85,0.93
Hearsay Sinful Wintergreen Fudge,0.83,0.51,0.22,0.22
Billy Bonker's Semisweet Almond Candy Sticks,0.68,0.37,0.84,0.92
Good Ivan's Cool Indulgent Chocolate Coated Mints,0.8,0.1,0.42,0.67
Good Ivan's Bitter Peanut Lollipops,0.06,0.45,0.78,0.72
Hearsay Luxurious Dark Peanut Clusters,0.51,0.24,0.88,0.76
Nastly Honey Nut Mints,0.98,0.6,0.94,0.41
Good Ivan's Bittersweet Peanut-Butter Candy Sticks,0.31,0.48,0.67,0.94
Good Ivan's Refreshingly Dark Cashew Candy Sticks,0.55,0.03,0.76,0.8
Billy Bonker's Semisweet Peanut-Butter Jawbreakers,0.63,0.4,0.41,0.81
Billy Bonker's Tart Salted Nugat-Filled Jawbreakers,0.23,0.86,0.35,0.98
Good Ivan's Sour Cheese Cashew Fudge,0.12,0.87,0.91,0.28
Billy Bonker's Cool Dark Chocolate Coated Bar,0.41,0.25,0.55,0.6
Billy Bonker's Cool Semisweet Peanut-Butter Bar,0.33,0.1,0.42,0.33
Billy Bonker's Luxurious Salted Nugat-Filled Mints,0.07,0.28,0.53,0.63
Billy Bonker's Tangy Sinful Nugat-Filled Candy Sticks,0.71,0.83,0.34,0.81
Nastly Honey Chocolate Coated Chews,0.74,0.46,0.59,0.04
Hearsay Indulgent Nugat-Filled Nonpariels,0.95,0.37,0.66,0.62
Nastly Semisweet Nut Chews,0.36,0.4,0.74,0.27
Nastly Bittersweet Almond Chews,0.51,0.39,0.93,0.13
Billy Bonker's Tangy Bitter Chocolate Coated Wafers,0,0.86,0.35,0.32
Hearsay Bitter Peanut Nonpariels,0.02,0.64,0.71,0.52
Hearsay Luxurious Bitter Chocolate Mints,0.08,0.25,0.06,0.6
Billy Bonker's Bittersweet Nugat-Filled Bar,0.43,0.37,0.66,0.43
Hearsay Dark Peanut Lollipops,0.34,0.6,0.8,0.86
Hearsay Luxurious Bitter Peanut-Butter Nonpariels,0.22,0.22,0.39,0.3
Billy Bonker's Luxurious Bitter Nugat-Filled Mints,0.23,0.19,0.49,0.41
Billy Bonker's Sour Sinful Peanut Clusters,0.83,0.71,0.79,0.99
Nastly Sour Indulgent Nugat-Filled Candy Sticks,0.76,0.83,0.36,0.84
Hearsay Luxurious Semisweet Nut Clusters,0.69,0.14,0.74,0.86
Hearsay Sour Sinful Chocolate Coated Fudge,0.78,0.73,0.34,0.27
Billy Bonker's Tangy Bittersweet Nugat-Filled Lollipops,0.49,0.91,0.35,0.73
Billy Bonker's Cool Honey Chocolate Coated Mints,0.84,0.28,0.32,0.41
Hearsay Salted Peanut-Butter Lollipops,0.12,0.35,0.63,0.89
Good Ivan's Refreshingly Indulgent Peanut-Butter Bar,1,0.1,0.56,0.56
Nastly Luxurious Salted Walnut Nonpariels,0.01,0.02,0.74,0.67
Billy Bonker's Luxurious Semisweet Nugat-Filled Mints,0.62,0.13,0.45,0.62
Billy Bonker's Luxurious Indulgent Spearmint Fudge,0.91,0.22,0.11,0.29
Billy Bonker's Refreshingly Bittersweet Peanut Clusters,0.7,0.29,1,0.9
Billy Bonker's Luxurious Dark Peanut Wafers,0.7,0.01,0.71,0.62
Billy Bonker's Sour Bittersweet Caramel Mints,0.68,0.85,0.26,0.31
Nastly Bittersweet Peanut-Butter Fudge,0.31,0.66,0.67,0.01
Billy Bonker's Sinful Wintergreen Velvet,0.94,0.54,0.07,0.16
Good Ivan's Tart Salted Nugat-Filled Mints,0.05,0.91,0.57,0.61
Billy Bonker's Tart Sinful Spearmint Clusters,0.99,0.82,0.11,0.78
Good Ivan's Cool Semisweet Nugat-Filled Lollipops,0.45,0.03,0.65,0.94
Billy Bonker's Refreshingly Bittersweet Nugat-Filled Bar,0.69,0.11,0.49,0.48
Billy Bonker's Tart Bittersweet Chocolate Coated Velvet,0.34,0.78,0.47,0.2
Billy Bonker's Refreshingly Bitter Chocolate Candy Sticks,0.01,0.25,0.12,0.72
Nastly Luxurious Bittersweet Peanut-Butter Fudge,0.54,0.2,0.63,0.28
Good Ivan's Bittersweet Peanut Clusters,0.63,0.36,0.89,0.86
Hearsay Indulgent Chocolate Coated Wafers,0.86,0.51,0.59,0.47
Nastly Refreshingly Bittersweet Almond Candy Sticks,0.62,0.26,0.71,0.75
Nastly Tart Indulgent Peanut Bar,0.78,0.73,0.84,0.52
Hearsay Luxurious Cheese Nugat-Filled Chews,0.23,0.23,0.56,0.22
Billy Bonker's Tart Semisweet Fruit Nonpariels,0.53,0.81,0.05,0.6
Hearsay Luxurious Salted Almond Chews,0.1,0.29,0.92,0.24
Hearsay Refreshingly Honey Peanut-Butter Bar,0.71,0.13,0.49,0.39
Hearsay Tangy Cheese Almond Nonpariels,0.02,0.72,0.76,0.49
Good Ivan's Refreshingly Semisweet Chocolate Coated Nonpariels,0.67,0.1,0.35,0.43
Billy Bonker's Indulgent Fruit Chews,0.98,0.33,0.22,0.15
Good Ivan's Luxurious Sinful Chocolate Coated Jawbreakers,0.79,0.27,0.67,0.98
Billy Bonker's Indulgent Caramel Chews,0.86,0.6,0.18,0
Good Ivan's Sour Salted Peanut-Butter Fudge,0.01,0.91,0.61,0.19
Good Ivan's Sour Semisweet Chocolate Mints,0.63,0.84,0.16,0.6
Nastly Dark Wintergreen Clusters,0.7,0.52,0.12,0.8
Billy Bonker's Honey Almond Bar,0.81,0.59,0.95,0.35
Billy Bonker's Indulgent Nut Mints,0.71,0.58,0.97,0.44
Good Ivan's Tangy Indulgent Caramel Mints,0.81,0.91,0.13,0.69
Nastly Refreshingly Indulgent Peanut-Butter Bar,0.85,0.25,0.63,0.62
Nastly Bittersweet Peanut Candy Sticks,0.45,0.43,0.99,0.74
Nastly Tart Bitter Chocolate Coated Mints,0.11,0.95,0.56,0.4
Good Ivan's Tart Cheese Nugat-Filled Mints,0.14,0.74,0.42,0.38
Hearsay Indulgent Nut Velvet,0.88,0.48,0.92,0.15
Hearsay Cool Bittersweet Almond Fudge,0.51,0.02,0.75,0.08
Good Ivan's Sour Honey Fruit Candy Sticks,0.75,0.81,0.19,0.94
Good Ivan's Refreshingly Semisweet Cashew Nonpariels,0.56,0.19,0.92,0.36
Good Ivan's Tart Dark Wintergreen Clusters,0.56,0.74,0.09,0.91
Good Ivan's Dark Nugat-Filled Jawbreakers,0.31,0.3,0.64,0.83
Good Ivan's Honey Nugat-Filled Clusters,0.96,0.55,0.66,0.82
Billy Bonker's Tart Semisweet Nugat-Filled Mints,0.3,0.83,0.3,0.48
Good Ivan's Refreshingly Semisweet Nut Wafers,0.51,0.14,0.82,0.69
Hearsay Tangy Salted Chocolate Coated Velvet,0.19,0.89,0.34,0.27
Good Ivan's Tangy Semisweet Chocolate Coated Velvet,0.38,0.82,0.33,0.22
Hearsay Refreshingly Dark Cashew Mints,0.49,0.09,0.81,0.67
Hearsay Tangy Sinful Peanut-Butter Nonpariels,0.75,0.88,0.6,0.39
Good Ivan's Tart Honey Nugat-Filled Nonpariels,0.93,0.96,0.65,0.64
Nastly Cool Bitter Peanut-Butter Fudge,0.23,0.07,0.57,0.16
Billy Bonker's Dark Cashew Jawbreakers,0.33,0.69,0.77,0.95
